# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_m                    8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_ncdm[0]             21:t_tot              
       5.250116605782e-05      -3.571174014939e-04      -2.678633850990e-04      -2.678636028823e-04      -3.571133498998e-04      -2.749477340986e-04      -2.688174579684e-04      -2.701098873224e-04       6.111551349251e-01       5.974402889573e-01       5.357272057646e-04       7.270506519522e-07       9.999907098177e-01      -6.064064353563e-09       2.011794637731e-08      -1.027714428041e-11      -7.744575306011e-11      -6.953588641044e-14      -8.252968424177e-11      -1.534065064603e-11      -2.750130979831e-12 
       5.497546978510e-05      -3.915676284184e-04      -2.937061793206e-04      -2.937064411536e-04      -3.915627573841e-04      -3.014730254717e-04      -2.947522999588e-04      -2.961693336308e-04       6.111544599550e-01       5.974398175820e-01       5.874128823071e-04       7.971944843365e-07       9.999898135401e-01      -6.649069759438e-09       2.205863003616e-08      -1.126858531269e-11      -9.310964247423e-11      -8.360037138249e-14      -9.922173855342e-11      -1.844344512942e-11      -3.306362129878e-12 
       5.756638385449e-05      -4.293407787749e-04      -3.220422024863e-04      -3.220425172781e-04      -4.293349225756e-04      -3.305571920320e-04      -3.231892517092e-04      -3.247428936083e-04       6.111537200882e-01       5.974393003951e-01       6.440850345563e-04       8.741055265934e-07       9.999888307968e-01      -7.290510168874e-09       2.418649526225e-08      -1.235566249285e-11      -1.119415846541e-10      -1.005100134051e-13      -1.192897604183e-10      -2.217379912417e-11      -3.975092079412e-12 
       6.027940394210e-05      -4.707572862898e-04      -3.531119894879e-04      -3.531123679501e-04      -4.707502456825e-04      -3.624470616813e-04      -3.543697045201e-04      -3.560731135348e-04       6.111529064559e-01       5.974387319672e-01       7.062247359001e-04       9.584366377045e-07       9.999877532442e-01      -7.993816730759e-09       2.651958919434e-08      -1.354760003894e-11      -1.345822825781e-10      -1.208388559844e-13      -1.434165026972e-10      -2.665864179643e-11      -4.779072444700e-12 
       6.312028472726e-05      -5.161684682491e-04      -3.871792803029e-04      -3.871797353138e-04      -5.161600037120e-04      -3.974132663872e-04      -3.885583382185e-04      -3.904259381173e-04       6.111520167040e-01       5.974381094245e-01       7.743594706275e-04       1.050903656729e-06       9.999865717366e-01      -8.764969708293e-09       2.907770134124e-08      -1.485450957279e-11      -1.618020622762e-10      -1.452798542993e-13      -1.724228034065e-10      -3.205056538951e-11      -5.745657511262e-12 
       6.609505209902e-05      -5.659594973154e-04      -4.245332573544e-04      -4.245338043998e-04      -5.659493208395e-04      -4.357525356308e-04      -4.260453652727e-04      -4.280929663536e-04       6.111510368933e-01       5.974374256230e-01       8.490676087996e-04       1.152291482018e-06       9.999852762505e-01      -9.610496664731e-09       3.188252158067e-08      -1.628748107140e-11      -1.945269205841e-10      -1.746640878484e-13      -2.072954933784e-10      -3.853303087871e-11      -6.907730790069e-12 
       6.921001593779e-05      -6.205526600283e-04      -4.654909998162e-04      -4.654916575109e-04      -6.205404254254e-04      -4.777902119322e-04      -4.671489950981e-04      -4.693939260919e-04       6.111499631963e-01       5.974366745883e-01       9.309833150218e-04       1.263460732615e-06       9.999838557845e-01      -1.053758386659e-08       3.495783776812e-08      -1.785866848682e-11      -2.338702763555e-10      -2.099940109986e-13      -2.492209430172e-10      -4.632659714800e-11      -8.304829404730e-12 
       7.247178349952e-05      -6.804109337264e-04      -5.104001785959e-04      -5.104009693158e-04      -6.803962247994e-04      -5.238830126550e-04      -5.122181357292e-04      -5.146793912380e-04       6.111487863401e-01       5.974358511733e-01       1.020801938632e-03       1.385355036153e-06       9.999822982842e-01      -1.155409509730e-08       3.832972345426e-08      -1.958140066873e-11      -2.811706138415e-10      -2.524673779936e-13      -2.996254471387e-10      -5.569642955805e-11      -9.984482877903e-12 
       7.588727343051e-05      -7.460419000490e-04      -5.596420064238e-04      -5.596429570620e-04      -7.460242164730e-04      -5.744220527411e-04      -5.616353571109e-04      -5.643337561177e-04       6.111475028941e-01       5.974349529449e-01       1.119285914124e-03       1.519009038611e-06       9.999805905399e-01      -1.266864848322e-08       4.202676726761e-08      -2.147028890011e-11      -3.380371671785e-10      -3.035251796386e-13      -3.602237320809e-10      -6.696132450165e-11      -1.200383427431e-11 
       7.946373044283e-05      -8.180020203951e-04      -6.136344620215e-04      -6.136356049601e-04      -8.179807604308e-04      -6.298361477889e-04      -6.158201320748e-04      -6.187784861882e-04       6.111460882452e-01       5.974339667937e-01       1.227271209920e-03       1.665557226835e-06       9.999787180434e-01      -1.389069906227e-08       4.608029677725e-08      -2.354136005293e-11      -4.064041358428e-10      -3.649271440284e-13      -4.330771829362e-10      -8.050453383222e-11      -1.443157515724e-11 
