# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.4
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.725043623124e-04      -7.014463534069e-02      -5.397834331808e-02      -5.397845349950e-02      -7.012213841340e-02      -5.400875945796e-02       5.998638803780e-01       5.987436868610e-01       1.079569069990e-01       3.452216615568e-05       9.996817939425e-01      -2.471855286759e-08      -8.761465043376e-07      -1.310750011320e-10      -8.946306647770e-07      -2.230559175322e-09 
       1.806342424406e-04      -7.671951917968e-02      -5.918464215289e-02      -5.918477450670e-02      -7.669254234619e-02      -5.921764204924e-02       5.998427668108e-01       5.987266560561e-01       1.183695490134e-01       3.785162099563e-05       9.996512306469e-01      -2.705491002557e-08      -1.051482417818e-06      -1.573467450063e-10      -1.073645962805e-06      -2.676928661363e-09 
       1.891472720151e-04      -8.389036089271e-02      -6.489294599192e-02      -6.489310496714e-02      -8.385802017620e-02      -6.492870903790e-02       5.998196398685e-01       5.987079927526e-01       1.297862099343e-01       4.150205772904e-05       9.996177461439e-01      -2.960698187951e-08      -1.261689756028e-06      -1.888565267089e-10      -1.288258273317e-06      -3.212069400606e-09 
       1.980615083129e-04      -9.170707503465e-02      -7.115162909882e-02      -7.115182003326e-02      -9.166831471839e-02      -7.119033819411e-02       5.997943099981e-01       5.986875415322e-01       1.423036400665e-01       4.550439634213e-05       9.995810641456e-01      -3.239367344965e-08      -1.513635274286e-06      -2.266398829880e-10      -1.545475206797e-06      -3.853460464162e-09 
       2.073958596245e-04      -1.002229150682e-01      -7.801372109149e-02      -7.801395039006e-02      -1.001764747361e-01      -7.805556029625e-02       5.997665701444e-01       5.986651321755e-01       1.560279007801e-01       4.989253034853e-05       9.995408826281e-01      -3.543529916878e-08      -1.815516304102e-06      -2.719304352060e-10      -1.853661484734e-06      -4.621966702085e-09 
       2.171701253604e-04      -1.094945129861e-01      -8.553735377701e-02      -8.553762911386e-02      -1.094388898150e-01      -8.558250521800e-02       5.997361949829e-01       5.986405795961e-01       1.710752582277e-01       5.470361180303e-05       9.994968720616e-01      -3.875371016261e-08      -2.177110395284e-06      -3.262187855407e-10      -2.222794725882e-06      -5.542478526573e-09 
       2.274050380486e-04      -1.195818746841e-01      -9.378625050655e-02      -9.378658108891e-02      -1.195152771545e-01      -9.383489040147e-02       5.997029379989e-01       5.986136798628e-01       1.875731621778e-01       5.997836338390e-05       9.994486723112e-01      -4.237231768129e-08      -2.610074508506e-06      -3.912545622573e-10      -2.664767067302e-06      -6.644662989123e-09 
       2.381223073113e-04      -1.305483113477e-01      -1.028302623667e-01      -1.028306592290e-01      -1.304686059995e-01      -1.028825559335e-01       5.996665310815e-01       5.985842113180e-01       2.056613184580e-01       6.576142019873e-05       9.993958908169e-01      -4.631615311788e-08      -3.128289905171e-06      -4.691479141093e-10      -3.193740419270e-06      -7.963852791963e-09 
       2.493446659134e-04      -1.424602961702e-01      -1.127459552534e-01      -1.127464316220e-01      -1.423649447136e-01      -1.128020503011e-01       5.996266818235e-01       5.985519312198e-01       2.254928632440e-01       7.210170394781e-05       9.993380989806e-01      -5.061191137725e-08      -3.748274042908e-06      -5.624041198650e-10      -3.826563571265e-06      -9.542087124697e-09 
       2.610959179822e-04      -1.553872226170e-01      -1.236172529948e-01      -1.236178246941e-01      -1.552732108148e-01      -1.236772718817e-01       5.995830723496e-01       5.985165748013e-01       2.472356493883e-01       7.905283258746e-05       9.992748296746e-01      -5.528791604993e-08      -4.489661140449e-06      -6.739994700404e-10      -4.583261037984e-06      -1.142933384956e-08 
